epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.245,3.41915,4.85195,4.22532,0.00181,0.18373,0.00858,0.00233,4.03271,8.92712,3.96408,0.00330952,0.00330952,0.00330952
2,385.349,3.43257,4.73955,4.18019,0.00164,0.03163,0.00153,0.00056,3.68474,10.8764,4.58314,0.00660997,0.00660997,0.00660997
3,561.521,3.11976,3.85725,3.49623,0.32914,0.13493,0.0347,0.00916,3.3129,63.1209,3.07653,0.00987743,0.00987743,0.00987743
4,741.546,2.28835,2.6106,2.43406,0.33954,0.25181,0.15124,0.08589,2.56913,3.50265,2.23908,0.0098515,0.0098515,0.0098515
5,921.061,1.79596,2.06308,1.90525,0.13249,0.3363,0.18438,0.11963,2.28692,4.48384,1.99815,0.009802,0.009802,0.009802
6,1103.6,1.64945,1.90397,1.70414,0.28412,0.34458,0.2616,0.16525,2.00024,2.81558,1.77816,0.0097525,0.0097525,0.0097525
7,1287.91,1.50251,1.71244,1.59972,0.35481,0.33268,0.23059,0.14372,2.06894,2.76984,1.81659,0.009703,0.009703,0.009703
8,1465.43,1.4356,1.62008,1.53581,0.4188,0.41489,0.37324,0.23805,1.79183,1.99494,1.59322,0.0096535,0.0096535,0.0096535
9,1647.97,1.36643,1.52407,1.47339,0.46945,0.41193,0.37981,0.23124,1.76353,1.83559,1.58802,0.009604,0.009604,0.009604
10,1834.59,1.33061,1.45681,1.44009,0.44536,0.48913,0.4501,0.28478,1.66665,1.65046,1.4982,0.0095545,0.0095545,0.0095545
11,2017.97,1.29386,1.38965,1.42101,0.53851,0.50311,0.49982,0.32329,1.58878,1.56128,1.43469,0.009505,0.009505,0.009505
12,2197.58,1.2173,1.351,1.36291,0.53708,0.55638,0.51672,0.32004,1.63223,1.4767,1.47247,0.0094555,0.0094555,0.0094555
13,2382.26,1.18242,1.27424,1.33319,0.60333,0.56417,0.56384,0.35148,1.50899,1.33533,1.38185,0.009406,0.009406,0.009406
14,2565.49,1.17554,1.23959,1.33018,0.65043,0.56225,0.58701,0.36993,1.48193,1.40994,1.38014,0.0093565,0.0093565,0.0093565
15,2753.62,1.17572,1.19806,1.32128,0.67156,0.57623,0.60498,0.38008,1.43628,1.27261,1.33472,0.009307,0.009307,0.009307
16,2936.76,1.14778,1.17381,1.30879,0.65079,0.57335,0.6241,0.41215,1.38589,1.27521,1.30765,0.0092575,0.0092575,0.0092575
17,3115.6,1.11591,1.14274,1.28586,0.7068,0.62187,0.66017,0.42656,1.38486,1.12182,1.3017,0.009208,0.009208,0.009208
18,3294.22,1.13067,1.17395,1.27569,0.67852,0.58942,0.63901,0.41055,1.3761,1.20213,1.29964,0.0091585,0.0091585,0.0091585
19,3476.7,1.10089,1.09466,1.26734,0.72429,0.61152,0.6755,0.44325,1.33615,1.18346,1.28649,0.009109,0.009109,0.009109
20,3657.13,1.09222,1.07577,1.26173,0.76381,0.64414,0.68657,0.45389,1.34952,1.08279,1.27148,0.0090595,0.0090595,0.0090595
21,3837.33,1.07287,1.02715,1.25146,0.72665,0.67232,0.68951,0.46211,1.31512,1.14112,1.25378,0.00901,0.00901,0.00901
22,4022.9,1.05124,1.0371,1.24072,0.73764,0.66481,0.70555,0.47772,1.29514,1.02532,1.24154,0.0089605,0.0089605,0.0089605
23,4205.95,1.05708,1.01007,1.23857,0.75196,0.65515,0.71054,0.47489,1.32075,1.01618,1.26297,0.008911,0.008911,0.008911
24,4382.78,1.03451,0.97131,1.21933,0.75906,0.67845,0.71095,0.46523,1.31936,1.03043,1.25151,0.0088615,0.0088615,0.0088615
25,4564.46,1.03591,0.95099,1.21952,0.77984,0.69022,0.73278,0.49653,1.26765,0.99269,1.22595,0.008812,0.008812,0.008812
26,4748.58,1.01737,0.93705,1.20074,0.74424,0.6612,0.71073,0.49149,1.24038,1,1.22446,0.0087625,0.0087625,0.0087625
27,4931.09,1.01693,0.93934,1.20869,0.75765,0.69808,0.74185,0.50294,1.24218,0.91819,1.19992,0.008713,0.008713,0.008713
28,5113.67,1.01811,0.92897,1.20137,0.79794,0.72066,0.76766,0.51968,1.22329,0.89966,1.20638,0.0086635,0.0086635,0.0086635
29,5292.66,0.99634,0.89636,1.19228,0.80589,0.71325,0.75379,0.51177,1.25208,0.91339,1.20359,0.008614,0.008614,0.008614
30,5471.95,0.99698,0.89366,1.19028,0.80868,0.71366,0.76363,0.52489,1.21114,0.88695,1.18875,0.0085645,0.0085645,0.0085645
31,5653.09,0.98338,0.88338,1.17764,0.77971,0.70882,0.75549,0.51259,1.23356,0.89439,1.19552,0.008515,0.008515,0.008515
32,5833.23,0.96598,0.84388,1.16517,0.80138,0.73207,0.7648,0.52237,1.18335,0.84106,1.18478,0.0084655,0.0084655,0.0084655
33,6009.18,0.95111,0.84932,1.1721,0.82963,0.72645,0.77399,0.54042,1.17114,0.8219,1.16514,0.008416,0.008416,0.008416
