epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.813,3.47021,4.80691,4.20559,0.00204,0.1875,0.01357,0.00311,4.0651,5.09781,4.1725,0.00330952,0.00330952,0.00330952
2,308.157,3.44029,4.63743,4.12288,0.50633,0.03238,0.0036,0.00094,3.74032,10.6567,4.22045,0.00660997,0.00660997,0.00660997
3,430.223,2.949,3.53934,3.26689,0.34364,0.08335,0.03692,0.01328,2.90996,8.21468,2.94689,0.00987743,0.00987743,0.00987743
4,553.423,2.0931,2.46629,2.27159,0.23612,0.22931,0.16137,0.09275,2.30613,3.13014,2.13778,0.0098515,0.0098515,0.0098515
5,674.897,1.76575,2.06809,1.87874,0.45035,0.28548,0.21979,0.13119,1.99321,2.86225,1.85153,0.009802,0.009802,0.009802
6,796.604,1.6261,1.89033,1.70322,0.57667,0.3374,0.30652,0.1831,1.88096,2.38322,1.71855,0.0097525,0.0097525,0.0097525
7,918.048,1.46887,1.7082,1.57484,0.36062,0.44493,0.32889,0.19581,1.79046,2.26148,1.66067,0.009703,0.009703,0.009703
8,1039.57,1.42272,1.6471,1.52155,0.46468,0.42453,0.37818,0.2413,1.72009,1.87627,1.60342,0.0096535,0.0096535,0.0096535
9,1162.05,1.36176,1.5433,1.47325,0.49575,0.38462,0.36668,0.23255,1.7126,2.44526,1.59154,0.009604,0.009604,0.009604
10,1283.8,1.3165,1.47957,1.43181,0.54101,0.4877,0.49554,0.31554,1.52009,1.57266,1.43557,0.0095545,0.0095545,0.0095545
11,1404.92,1.28616,1.41551,1.40058,0.4269,0.53693,0.47898,0.31181,1.48027,1.80375,1.40605,0.009505,0.009505,0.009505
12,1526.07,1.235,1.34212,1.36994,0.60557,0.51456,0.51805,0.32193,1.45831,1.60086,1.39538,0.0094555,0.0094555,0.0094555
13,1647.73,1.23469,1.31774,1.36187,0.57257,0.54011,0.53187,0.33657,1.40143,1.49383,1.36462,0.009406,0.009406,0.009406
14,1770.08,1.19002,1.2733,1.3251,0.587,0.53733,0.54521,0.36355,1.38811,1.51864,1.34326,0.0093565,0.0093565,0.0093565
15,1890.76,1.1773,1.25757,1.32208,0.64246,0.56368,0.59504,0.3853,1.35751,1.31826,1.32437,0.009307,0.009307,0.009307
16,2013.26,1.15768,1.21209,1.29817,0.6469,0.61847,0.62411,0.4043,1.35827,1.34872,1.32032,0.0092575,0.0092575,0.0092575
17,2134.44,1.16653,1.20606,1.30518,0.62899,0.56144,0.57443,0.37454,1.3801,1.38239,1.31488,0.009208,0.009208,0.009208
18,2257.19,1.12836,1.1373,1.27553,0.72253,0.62678,0.66734,0.44051,1.28815,1.16972,1.27281,0.0091585,0.0091585,0.0091585
19,2377.92,1.12094,1.1284,1.26057,0.67159,0.61868,0.64136,0.42715,1.28731,1.28995,1.26847,0.009109,0.009109,0.009109
20,2498,1.093,1.09608,1.24899,0.70246,0.64746,0.68042,0.45064,1.27822,1.13163,1.26574,0.0090595,0.0090595,0.0090595
21,2619.64,1.07408,1.06517,1.24178,0.69694,0.6459,0.68298,0.45536,1.2891,1.14692,1.26999,0.00901,0.00901,0.00901
