epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.53,6.65618,15.3439,8.48674,0.00034,0.19955,0.00518,0.0011,7.87966,26.8532,7.91531,0.00330952,0.00330952,0.00330952
2,439.721,6.6233,13.2197,8.31243,0.00032,0.1747,0.0005,0.00018,7.65927,inf,9.47574,0.00660997,0.00660997,0.00660997
3,617.313,6.09693,8.96943,6.97419,0.03573,0.12315,0.01967,0.00675,6.01223,35.5754,5.66993,0.00987743,0.00987743,0.00987743
4,793.887,4.88932,5.83112,4.79575,0.41494,0.15344,0.09205,0.04432,5.0494,7.35177,4.50998,0.0098515,0.0098515,0.0098515
5,974.358,4.06593,4.76593,3.92094,0.21369,0.30364,0.17389,0.09717,4.42934,5.69219,3.79747,0.009802,0.009802,0.009802
6,1157.52,3.78232,4.37553,3.55504,0.26605,0.31483,0.20283,0.11876,4.30693,5.62024,3.73797,0.0097525,0.0097525,0.0097525
7,1337.09,3.5136,4.04486,3.34847,0.35753,0.30645,0.23955,0.14673,4.11761,5.09266,3.58282,0.009703,0.009703,0.009703
8,1519.57,3.37677,3.85649,3.22369,0.38914,0.35841,0.30759,0.18136,3.83298,5.66133,3.35082,0.0096535,0.0096535,0.0096535
9,1699.1,3.24021,3.64859,3.10422,0.40247,0.35169,0.34049,0.20473,3.69218,3.82138,3.25479,0.009604,0.009604,0.009604
10,1878.15,3.19619,3.57583,3.04961,0.36057,0.44877,0.36203,0.21773,3.51899,4.58133,3.10771,0.0095545,0.0095545,0.0095545
11,2060.18,3.06192,3.35895,2.95854,0.36686,0.46865,0.36947,0.21835,3.42282,4.52213,3.06524,0.009505,0.009505,0.009505
12,2244.58,2.94957,3.23649,2.86921,0.40132,0.38941,0.3426,0.20988,3.51822,4.14812,3.09388,0.0094555,0.0094555,0.0094555
13,2421.19,2.8321,3.05913,2.7922,0.4224,0.49298,0.42948,0.25944,3.21255,3.7482,2.90887,0.009406,0.009406,0.009406
14,2600.99,2.82596,2.9935,2.78343,0.4934,0.48414,0.47417,0.28819,3.21007,3.25023,2.88463,0.0093565,0.0093565,0.0093565
15,2781.65,2.81886,2.92612,2.75286,0.5201,0.48477,0.49407,0.3168,3.16817,3.10956,2.844,0.009307,0.009307,0.009307
16,2966.13,2.78235,2.88662,2.72367,0.53305,0.54953,0.52983,0.33211,3.03784,2.9598,2.7594,0.0092575,0.0092575,0.0092575
17,3142.34,2.73571,2.80063,2.69823,0.56977,0.51483,0.52504,0.32046,3.06846,2.91854,2.77948,0.009208,0.009208,0.009208
