epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.713,3.42588,4.77992,4.17807,0.00191,0.19051,0.00709,0.00208,4.00358,8.8664,3.92107,0.00330952,0.00330952,0.00330952
2,403.434,3.18936,3.83757,3.62394,0.08183,0.04516,0.02828,0.01054,3.13393,7.76656,3.21623,0.00660997,0.00660997,0.00660997
3,583.138,2.39162,2.76767,2.67907,0.20082,0.08635,0.05028,0.02133,2.64445,75.6378,2.70059,0.00987743,0.00987743,0.00987743
4,760.303,1.86634,2.20909,2.04972,0.40416,0.1938,0.19801,0.13095,2.27678,8.81143,2.10632,0.0098515,0.0098515,0.0098515
5,936.924,1.65609,1.90999,1.79286,0.2833,0.356,0.26823,0.176,2.01238,2.54778,1.84511,0.009802,0.009802,0.009802
6,1116.1,1.53662,1.79315,1.62992,0.40401,0.43304,0.33617,0.21429,1.91412,2.1102,1.71712,0.0097525,0.0097525,0.0097525
7,1290.9,1.41381,1.60008,1.54331,0.40794,0.39112,0.36218,0.22494,1.85628,2.21727,1.65827,0.009703,0.009703,0.009703
8,1467.43,1.34849,1.53057,1.48222,0.46202,0.46011,0.43745,0.27115,1.66913,1.67337,1.53448,0.0096535,0.0096535,0.0096535
9,1644.52,1.28977,1.43599,1.42954,0.55687,0.48157,0.48127,0.30519,1.59033,1.58193,1.48349,0.009604,0.009604,0.009604
10,1823.28,1.268,1.37435,1.40249,0.5559,0.51513,0.51752,0.31465,1.63039,1.97373,1.49967,0.0095545,0.0095545,0.0095545
11,2005.13,1.22169,1.28663,1.3787,0.59023,0.54099,0.56047,0.36353,1.49475,1.6086,1.38505,0.009505,0.009505,0.009505
12,2182.06,1.16084,1.27211,1.32546,0.64457,0.53416,0.5624,0.35186,1.48651,1.37035,1.37967,0.0094555,0.0094555,0.0094555
13,2356.9,1.11061,1.16909,1.28848,0.60197,0.57307,0.59874,0.38896,1.44279,1.39311,1.35488,0.009406,0.009406,0.009406
14,2535.65,1.10028,1.12741,1.28318,0.68029,0.57644,0.62433,0.40656,1.38778,1.20293,1.32481,0.0093565,0.0093565,0.0093565
15,2714,1.10523,1.10305,1.27709,0.65071,0.60091,0.64037,0.42192,1.39274,1.21872,1.31237,0.009307,0.009307,0.009307
16,2889.53,1.0853,1.09235,1.26484,0.64537,0.61413,0.65734,0.43986,1.33508,1.47327,1.28544,0.0092575,0.0092575,0.0092575
17,3066.27,1.05316,1.03847,1.24599,0.73577,0.63634,0.68712,0.46258,1.29252,1.10341,1.27385,0.009208,0.009208,0.009208
18,3247.34,1.074,1.09702,1.23922,0.6884,0.61339,0.66759,0.44643,1.33376,1.17931,1.2847,0.0091585,0.0091585,0.0091585
19,3424.81,1.03562,0.98902,1.22509,0.76541,0.65097,0.69762,0.46296,1.32113,1.14342,1.28594,0.009109,0.009109,0.009109
20,3605.7,1.03641,0.97883,1.22368,0.78551,0.66639,0.71888,0.48118,1.28775,1.00655,1.2459,0.0090595,0.0090595,0.0090595
21,3784.75,1.00788,0.93707,1.20893,0.74408,0.66843,0.70577,0.47892,1.29218,1.01358,1.25425,0.00901,0.00901,0.00901
22,3965.74,0.99574,0.92661,1.20524,0.81595,0.69475,0.74708,0.5121,1.23219,0.8936,1.20751,0.0089605,0.0089605,0.0089605
23,4142.37,0.99296,0.91417,1.19808,0.77788,0.69021,0.73245,0.50614,1.23033,0.9106,1.21983,0.008911,0.008911,0.008911
24,4321.26,0.98278,0.90955,1.18719,0.82685,0.71042,0.75418,0.51787,1.23016,0.86523,1.2115,0.0088615,0.0088615,0.0088615
25,4496.11,0.96873,0.87015,1.17869,0.82514,0.71153,0.7478,0.52272,1.19453,0.87732,1.19553,0.008812,0.008812,0.008812
26,4680.46,0.96613,0.86725,1.17097,0.79446,0.72721,0.7613,0.53608,1.17873,0.84974,1.18339,0.0087625,0.0087625,0.0087625
27,4853.87,0.95116,0.84463,1.16922,0.8015,0.69276,0.74705,0.51705,1.21446,0.87971,1.1949,0.008713,0.008713,0.008713
28,5034.78,0.95574,0.83828,1.16546,0.81569,0.72642,0.76674,0.53569,1.1741,0.84162,1.17967,0.0086635,0.0086635,0.0086635
29,5205.06,0.92753,0.81643,1.1527,0.79369,0.72963,0.75844,0.53385,1.16769,0.8467,1.16938,0.008614,0.008614,0.008614
30,5379.55,0.93945,0.81344,1.15262,0.79954,0.74481,0.77841,0.55384,1.13304,0.82443,1.15668,0.0085645,0.0085645,0.0085645
31,5555.6,0.91604,0.80061,1.14097,0.80521,0.71059,0.75431,0.52407,1.19031,0.85207,1.17779,0.008515,0.008515,0.008515
32,5727.56,0.90386,0.76814,1.13206,0.81339,0.75555,0.77377,0.54164,1.14578,0.83261,1.16175,0.0084655,0.0084655,0.0084655
