epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7681.59,0.87966,0.72852,1.125,0.85096,0.77034,0.80551,0.57507,1.08693,0.73981,1.12647,0.007921,0.007921,0.007921
44,7861.56,0.88731,0.73238,1.12393,0.83959,0.7793,0.81508,0.58634,1.08218,0.73886,1.12449,0.0078715,0.0078715,0.0078715
45,8048.5,0.88561,0.73678,1.13336,0.82368,0.73839,0.80935,0.58384,1.07027,0.84794,1.11994,0.007822,0.007822,0.007822
46,8230.25,0.86419,0.71284,1.1135,0.82099,0.76511,0.80462,0.58029,1.0799,0.79942,1.12069,0.0077725,0.0077725,0.0077725
47,8413.37,0.86613,0.7178,1.10995,0.87092,0.76888,0.81624,0.59021,1.06474,0.69251,1.11276,0.007723,0.007723,0.007723
48,8595.07,0.85976,0.70416,1.11004,0.83657,0.76545,0.81526,0.58897,1.06824,0.76406,1.10814,0.0076735,0.0076735,0.0076735
49,8773.62,0.85915,0.70223,1.11014,0.86628,0.77776,0.81936,0.59648,1.06486,0.67889,1.11042,0.007624,0.007624,0.007624
50,8950.66,0.8437,0.68128,1.09972,0.86326,0.78782,0.82176,0.59229,1.05821,0.68878,1.10496,0.0075745,0.0075745,0.0075745
51,9129.89,0.85256,0.69078,1.10599,0.88714,0.78394,0.82842,0.59992,1.04821,0.65694,1.10504,0.007525,0.007525,0.007525
52,9313.95,0.83698,0.676,1.09675,0.84777,0.7902,0.82767,0.60015,1.04135,0.70423,1.10548,0.0074755,0.0074755,0.0074755
53,9495.55,0.85323,0.6846,1.1003,0.87407,0.79368,0.82847,0.59887,1.04384,0.67128,1.1041,0.007426,0.007426,0.007426
54,9673.63,0.85882,0.72083,1.10316,0.86773,0.78641,0.8287,0.5943,1.04861,0.6962,1.1024,0.0073765,0.0073765,0.0073765
55,9856.24,0.83815,0.67441,1.09939,0.87713,0.78241,0.8321,0.60026,1.03319,0.66033,1.09592,0.007327,0.007327,0.007327
56,10038.8,0.83407,0.65741,1.10106,0.89298,0.79721,0.83756,0.60844,1.03139,0.6308,1.09144,0.0072775,0.0072775,0.0072775
57,10222.4,0.82678,0.65685,1.09497,0.86506,0.8009,0.83469,0.60863,1.00773,0.6454,1.07586,0.007228,0.007228,0.007228
58,10402.7,0.8274,0.66109,1.09098,0.87077,0.81005,0.84384,0.61988,1.0068,0.61781,1.0763,0.0071785,0.0071785,0.0071785
59,10581.3,0.8457,0.67009,1.10122,0.86329,0.80909,0.83825,0.614,1.00351,0.62186,1.06961,0.007129,0.007129,0.007129
60,10766,0.84727,0.67424,1.09294,0.85071,0.80663,0.83478,0.61458,0.99467,0.66242,1.07308,0.0070795,0.0070795,0.0070795
61,10945.6,0.8224,0.64772,1.08688,0.90296,0.79158,0.84067,0.61277,1.01043,0.62104,1.08379,0.00703,0.00703,0.00703
62,11122.9,0.80732,0.62919,1.08714,0.89806,0.7879,0.84306,0.61736,0.9964,0.62145,1.07024,0.0069805,0.0069805,0.0069805
63,11302.2,0.81725,0.63814,1.09199,0.90593,0.79549,0.84507,0.62048,1.00228,0.60433,1.07498,0.006931,0.006931,0.006931
64,11486.2,0.83005,0.64451,1.09202,0.87709,0.79865,0.84106,0.61787,1.00374,0.61946,1.07928,0.0068815,0.0068815,0.0068815
65,11665.1,0.81679,0.62855,1.08388,0.89517,0.78494,0.83781,0.6153,1.00465,0.60781,1.07433,0.006832,0.006832,0.006832
66,11846.8,0.79539,0.61756,1.07457,0.91167,0.79911,0.8475,0.62571,0.98729,0.58683,1.06804,0.0067825,0.0067825,0.0067825
67,12028.9,0.8121,0.62533,1.08231,0.87131,0.80804,0.84206,0.62243,0.98973,0.61937,1.06857,0.006733,0.006733,0.006733
68,12212.1,0.79702,0.60954,1.06828,0.8796,0.82086,0.84823,0.62581,0.97973,0.59091,1.06443,0.0066835,0.0066835,0.0066835
69,12393.5,0.816,0.62556,1.07533,0.89829,0.80828,0.84982,0.6242,0.97151,0.58839,1.05469,0.006634,0.006634,0.006634
70,12572.5,0.80244,0.61133,1.07868,0.90262,0.8135,0.84573,0.62724,0.97508,0.58262,1.06403,0.0065845,0.0065845,0.0065845
71,12754.7,0.7916,0.60595,1.06784,0.91444,0.8058,0.85061,0.63224,0.97411,0.57303,1.06074,0.006535,0.006535,0.006535
72,12939.9,0.8002,0.61269,1.08246,0.91077,0.80593,0.84357,0.61897,0.99925,0.59225,1.07345,0.0064855,0.0064855,0.0064855
73,13122.4,0.77629,0.5873,1.06682,0.90908,0.80676,0.8494,0.62798,0.9627,0.574,1.05415,0.006436,0.006436,0.006436
74,13304.7,0.77746,0.59147,1.06074,0.89601,0.81628,0.84847,0.63496,0.96064,0.5681,1.04993,0.0063865,0.0063865,0.0063865
75,13486.5,0.78557,0.59392,1.06513,0.89457,0.80152,0.84799,0.63145,0.96082,0.58848,1.04903,0.006337,0.006337,0.006337
76,13665.5,0.79951,0.60851,1.06935,0.91854,0.80722,0.8506,0.63388,0.95986,0.56742,1.0504,0.0062875,0.0062875,0.0062875
77,13845.3,0.78506,0.69962,1.05587,0.92081,0.80732,0.85272,0.63852,0.9489,0.57066,1.04677,0.006238,0.006238,0.006238
78,14028.8,0.78253,0.58487,1.06821,0.90827,0.82364,0.85472,0.63702,0.95564,0.5639,1.04674,0.0061885,0.0061885,0.0061885
79,14210.4,0.77854,0.57702,1.0667,0.91688,0.80658,0.84984,0.63475,0.94372,0.56656,1.04271,0.006139,0.006139,0.006139
80,14389.6,0.76861,0.58222,1.05523,0.91867,0.81188,0.85736,0.63779,0.95371,0.55044,1.0497,0.0060895,0.0060895,0.0060895
81,14568,0.77488,0.5666,1.05747,0.91162,0.81508,0.85486,0.64088,0.95634,0.54755,1.04307,0.00604,0.00604,0.00604
82,14747.8,0.77214,0.57404,1.06225,0.9187,0.80724,0.85796,0.64057,0.94489,0.54955,1.03955,0.0059905,0.0059905,0.0059905
83,14926.5,0.77193,0.5706,1.05921,0.92202,0.81805,0.85758,0.64046,0.94186,0.53396,1.0391,0.005941,0.005941,0.005941
84,15108.1,0.78679,0.58013,1.06473,0.91294,0.8201,0.85785,0.64733,0.92901,0.54695,1.03439,0.0058915,0.0058915,0.0058915
85,15286.8,0.77101,0.57232,1.05249,0.89699,0.82343,0.85494,0.64684,0.92889,0.52869,1.03308,0.005842,0.005842,0.005842
86,15469.1,0.75688,0.56139,1.0442,0.91954,0.81643,0.8585,0.64795,0.92181,0.53484,1.03249,0.0057925,0.0057925,0.0057925
87,15651,0.75659,0.55489,1.04368,0.91792,0.82432,0.86168,0.64776,0.92852,0.5273,1.03463,0.005743,0.005743,0.005743
88,15836.5,0.77043,0.56195,1.0526,0.89921,0.8237,0.86039,0.64696,0.92811,0.54299,1.03163,0.0056935,0.0056935,0.0056935
89,16014.5,0.77077,0.56174,1.05288,0.90459,0.82521,0.86229,0.64839,0.93342,0.53105,1.03132,0.005644,0.005644,0.005644
90,16191.9,0.76093,0.55644,1.05596,0.90559,0.82453,0.85937,0.64781,0.9283,0.52673,1.03413,0.0055945,0.0055945,0.0055945
91,16370.5,0.76147,0.5558,1.05415,0.91743,0.82197,0.86066,0.65135,0.91705,0.51779,1.02733,0.005545,0.005545,0.005545
92,16551.7,0.76694,0.55164,1.05438,0.90664,0.82696,0.85564,0.6478,0.91883,0.52507,1.02865,0.0054955,0.0054955,0.0054955
93,16730.7,0.75653,0.54993,1.04301,0.91991,0.82659,0.85948,0.65043,0.92178,0.51878,1.02899,0.005446,0.005446,0.005446
94,16910,0.75208,0.55281,1.05286,0.92001,0.82166,0.86051,0.6476,0.91219,0.51576,1.02912,0.0053965,0.0053965,0.0053965
