epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3889.44,0.94156,0.78741,1.14986,0.84195,0.76641,0.80223,0.56977,1.1207,0.75246,1.11988,0.007921,0.007921,0.007921
44,3979.49,0.94585,0.78993,1.15876,0.83634,0.75822,0.79992,0.5673,1.11517,0.79587,1.1213,0.0078715,0.0078715,0.0078715
45,4068.63,0.96748,0.79851,1.15799,0.85496,0.76001,0.79927,0.56728,1.11637,0.76012,1.11957,0.007822,0.007822,0.007822
46,4157.84,0.91963,0.76636,1.13524,0.85452,0.72982,0.80036,0.56514,1.11897,0.80491,1.11028,0.0077725,0.0077725,0.0077725
47,4248.12,0.92193,0.75712,1.13965,0.8357,0.76016,0.80543,0.57389,1.1025,0.73255,1.11396,0.007723,0.007723,0.007723
48,4338.33,0.92588,0.76548,1.12918,0.84613,0.77182,0.81203,0.57945,1.09243,0.722,1.10802,0.0076735,0.0076735,0.0076735
49,4427.5,0.90748,0.75102,1.13271,0.83424,0.78647,0.81867,0.59083,1.06485,0.73382,1.09117,0.007624,0.007624,0.007624
50,4517.9,0.88805,0.7456,1.12461,0.85064,0.77689,0.80678,0.57491,1.10677,0.72531,1.10715,0.0075745,0.0075745,0.0075745
51,4607.88,0.89881,0.72792,1.1212,0.84829,0.78279,0.81289,0.58752,1.06049,0.70003,1.09411,0.007525,0.007525,0.007525
52,4696.97,0.88281,0.72279,1.1183,0.8443,0.78848,0.81853,0.58943,1.0755,0.73236,1.09169,0.0074755,0.0074755,0.0074755
53,4788.32,0.89692,0.73308,1.12618,0.86066,0.77457,0.81964,0.58839,1.08668,0.72076,1.10028,0.007426,0.007426,0.007426
54,4876.7,0.89974,0.71523,1.1231,0.86023,0.78195,0.82265,0.5971,1.04661,0.70635,1.08408,0.0073765,0.0073765,0.0073765
55,4968.57,0.88789,0.70241,1.11843,0.86768,0.77387,0.81962,0.58554,1.07098,0.68787,1.09341,0.007327,0.007327,0.007327
56,5057.67,0.87952,0.70566,1.12419,0.86756,0.78366,0.82413,0.60101,1.03949,0.66348,1.07409,0.0072775,0.0072775,0.0072775
57,5147.84,0.89202,0.70533,1.11356,0.87739,0.77203,0.82421,0.59354,1.05924,0.71876,1.08635,0.007228,0.007228,0.007228
58,5237.46,0.87759,0.69306,1.10914,0.87543,0.79005,0.83269,0.6031,1.04397,0.6607,1.07848,0.0071785,0.0071785,0.0071785
59,5327.98,0.85949,0.68719,1.10607,0.86306,0.7925,0.8289,0.60352,1.03535,0.67284,1.0758,0.007129,0.007129,0.007129
60,5417.46,0.86132,0.67377,1.10342,0.87155,0.80514,0.83941,0.60984,1.01648,0.65456,1.07214,0.0070795,0.0070795,0.0070795
61,5507.97,0.86699,0.68195,1.1009,0.88188,0.7942,0.83552,0.60876,1.02735,0.66402,1.0706,0.00703,0.00703,0.00703
62,5597.96,0.87792,0.69584,1.10979,0.91216,0.78247,0.83464,0.61446,1.00567,0.62138,1.06545,0.0069805,0.0069805,0.0069805
63,5687.13,0.8673,0.68256,1.10263,0.87415,0.78872,0.83644,0.61311,1.00802,0.64484,1.06124,0.006931,0.006931,0.006931
64,5775.91,0.87149,0.66417,1.09927,0.89216,0.79071,0.83547,0.60963,1.01964,0.65776,1.06802,0.0068815,0.0068815,0.0068815
65,5866.81,0.87051,0.67816,1.10277,0.90819,0.80006,0.84027,0.6185,1.00753,0.6183,1.0628,0.006832,0.006832,0.006832
66,5956.99,0.84646,0.66678,1.09507,0.88919,0.80603,0.84129,0.61194,1.01432,0.61999,1.06412,0.0067825,0.0067825,0.0067825
67,6047.47,0.86766,0.70977,1.08933,0.88498,0.79802,0.8352,0.60909,1.03289,0.64084,1.06933,0.006733,0.006733,0.006733
68,6139.4,0.85593,0.6658,1.09658,0.89361,0.8054,0.84657,0.61695,1.00933,0.6193,1.06381,0.0066835,0.0066835,0.0066835
69,6228.94,0.86528,0.69381,1.09704,0.91516,0.79108,0.8448,0.61965,1.00247,0.62581,1.05765,0.006634,0.006634,0.006634
70,6320.72,0.87031,0.66828,1.09351,0.87901,0.80513,0.84121,0.6178,0.99709,0.61226,1.05566,0.0065845,0.0065845,0.0065845
71,6409.91,0.8505,0.64953,1.08862,0.88445,0.80761,0.84333,0.61991,0.99103,0.62462,1.05314,0.006535,0.006535,0.006535
72,6500.16,0.83629,0.64175,1.08748,0.88678,0.80049,0.83887,0.62123,0.99034,0.62308,1.04991,0.0064855,0.0064855,0.0064855
73,6589.95,0.83446,0.64666,1.08394,0.90028,0.80437,0.84292,0.62121,0.99219,0.59989,1.05408,0.006436,0.006436,0.006436
