epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6008.79,0.9339,0.79634,1.14673,0.76915,0.73388,0.77646,0.55404,1.13741,0.89295,1.12866,0.0079705,0.0079705,0.0079705
43,6193.96,0.91834,0.778,1.14286,0.79489,0.75048,0.79007,0.56962,1.09819,0.81528,1.11793,0.007921,0.007921,0.007921
44,6378.16,0.93269,0.79261,1.146,0.84766,0.75968,0.7966,0.56799,1.10876,0.75561,1.1216,0.0078715,0.0078715,0.0078715
45,6565.24,0.92681,0.77614,1.14682,0.82227,0.76028,0.80191,0.57914,1.08602,0.76775,1.09884,0.007822,0.007822,0.007822
46,6751.76,0.90393,0.75902,1.12545,0.82167,0.77541,0.80067,0.57264,1.10983,0.74983,1.10781,0.0077725,0.0077725,0.0077725
47,6936.33,0.90898,0.75815,1.12728,0.85386,0.75205,0.80142,0.58117,1.09911,0.72938,1.09838,0.007723,0.007723,0.007723
48,7123.49,0.89198,0.74866,1.12101,0.82652,0.77396,0.79841,0.57962,1.09214,0.73038,1.10387,0.0076735,0.0076735,0.0076735
49,7312.27,0.9018,0.74428,1.1241,0.84084,0.7548,0.80755,0.57582,1.10048,0.72251,1.1076,0.007624,0.007624,0.007624
50,7497.85,0.88284,0.7264,1.11458,0.82199,0.76588,0.80177,0.58111,1.08197,0.73954,1.09623,0.0075745,0.0075745,0.0075745
51,7683.54,0.89523,0.73485,1.12046,0.87822,0.7787,0.82064,0.58799,1.08095,0.67011,1.09741,0.007525,0.007525,0.007525
52,7865.74,0.8634,0.71593,1.10443,0.85561,0.78166,0.82012,0.59703,1.0725,0.68636,1.09857,0.0074755,0.0074755,0.0074755
53,8055.26,0.90352,0.76658,1.13338,0.85916,0.78287,0.81927,0.59995,1.06214,0.67741,1.08659,0.007426,0.007426,0.007426
54,8244.11,0.89326,0.74218,1.11651,0.84023,0.77671,0.81306,0.59452,1.07232,0.68027,1.09262,0.0073765,0.0073765,0.0073765
55,8430.66,0.87079,0.71642,1.11255,0.83718,0.76713,0.81538,0.58866,1.07429,0.71895,1.0903,0.007327,0.007327,0.007327
56,8612.61,0.86881,0.69585,1.11019,0.85509,0.78674,0.81902,0.60338,1.05005,0.65686,1.07952,0.0072775,0.0072775,0.0072775
57,8797.27,0.85927,0.70115,1.10651,0.84671,0.78482,0.81844,0.60016,1.04655,0.66612,1.07563,0.007228,0.007228,0.007228
58,8986.24,0.8666,0.69716,1.10867,0.85947,0.76883,0.8203,0.60531,1.02302,0.65619,1.06679,0.0071785,0.0071785,0.0071785
59,9178.44,0.87857,0.6925,1.11222,0.89893,0.78632,0.82293,0.60773,1.03388,0.63409,1.06795,0.007129,0.007129,0.007129
60,9358.76,0.88809,0.71552,1.10729,0.84587,0.79041,0.81499,0.60145,1.04775,0.64826,1.07661,0.0070795,0.0070795,0.0070795
61,9544.93,0.8544,0.68697,1.10063,0.87087,0.79508,0.83111,0.60816,1.03192,0.62927,1.07503,0.00703,0.00703,0.00703
62,9726.41,0.84166,0.66202,1.10081,0.87953,0.79222,0.82516,0.60696,1.02651,0.63533,1.06895,0.0069805,0.0069805,0.0069805
63,9916.52,0.85181,0.67623,1.10406,0.8649,0.79003,0.82632,0.61024,1.02277,0.62181,1.06673,0.006931,0.006931,0.006931
64,10103.4,0.8668,0.67858,1.10487,0.85393,0.79238,0.82743,0.61289,1.01741,0.63964,1.06435,0.0068815,0.0068815,0.0068815
65,10288.3,0.84866,0.66772,1.09491,0.85906,0.79616,0.82598,0.60788,1.01811,0.6372,1.06631,0.006832,0.006832,0.006832
66,10474.7,0.8386,0.66254,1.09196,0.85362,0.80468,0.83059,0.6143,1.00863,0.59738,1.06218,0.0067825,0.0067825,0.0067825
67,10659,0.84332,0.65993,1.09242,0.87934,0.79372,0.83366,0.61869,0.99829,0.61197,1.05782,0.006733,0.006733,0.006733
68,10844.8,0.8281,0.64674,1.07765,0.88887,0.79318,0.83786,0.61925,0.99835,0.61526,1.05628,0.0066835,0.0066835,0.0066835
69,11030.1,0.85132,0.65625,1.09169,0.88234,0.79224,0.83619,0.62257,0.99605,0.59517,1.05237,0.006634,0.006634,0.006634
70,11214.6,0.83085,0.64531,1.08634,0.88569,0.79466,0.8356,0.62184,0.98766,0.60097,1.05181,0.0065845,0.0065845,0.0065845
71,11399.6,0.81758,0.63064,1.07652,0.87092,0.79677,0.83322,0.62222,0.98025,0.59823,1.04432,0.006535,0.006535,0.006535
72,11584.5,0.8239,0.64736,1.08767,0.85235,0.8038,0.83758,0.62604,0.97561,0.61839,1.04641,0.0064855,0.0064855,0.0064855
73,11770.8,0.81103,0.64117,1.07947,0.88813,0.80918,0.84349,0.62753,0.97154,0.57303,1.04018,0.006436,0.006436,0.006436
74,11956.7,0.81245,0.62906,1.07485,0.88469,0.80147,0.83991,0.62582,0.97341,0.5862,1.04449,0.0063865,0.0063865,0.0063865
75,12143.7,0.82297,0.64,1.08031,0.87668,0.79577,0.83471,0.62406,0.97561,0.57869,1.04097,0.006337,0.006337,0.006337
76,12329.3,0.83332,0.64912,1.08096,0.89141,0.79694,0.84056,0.62935,0.96657,0.5795,1.04204,0.0062875,0.0062875,0.0062875
77,12516.2,0.82752,0.73803,1.07132,0.90269,0.78981,0.84147,0.62625,0.97992,0.59425,1.04861,0.006238,0.006238,0.006238
78,12700.8,0.81247,0.61971,1.08208,0.90099,0.79587,0.84075,0.63122,0.96577,0.57142,1.03707,0.0061885,0.0061885,0.0061885
79,12883,0.80642,0.61494,1.07263,0.90035,0.80581,0.84146,0.62948,0.96732,0.57325,1.03461,0.006139,0.006139,0.006139
80,13066.5,0.80016,0.60586,1.06623,0.86945,0.81308,0.84044,0.63304,0.96588,0.57451,1.04,0.0060895,0.0060895,0.0060895
81,13251.7,0.81206,0.60432,1.07215,0.90091,0.80879,0.84212,0.6342,0.96085,0.5546,1.03958,0.00604,0.00604,0.00604
82,13442,0.79918,0.60645,1.07068,0.90249,0.8102,0.84652,0.63704,0.94785,0.55717,1.03119,0.0059905,0.0059905,0.0059905
83,13639,0.80192,0.60616,1.06922,0.90933,0.80941,0.84696,0.63464,0.95799,0.54957,1.03043,0.005941,0.005941,0.005941
84,13824.4,0.80969,0.6065,1.0701,0.89156,0.80968,0.84576,0.63861,0.95542,0.55255,1.03127,0.0058915,0.0058915,0.0058915
85,14015.7,0.80247,0.60459,1.06687,0.9079,0.81294,0.84683,0.63767,0.94835,0.55241,1.03573,0.005842,0.005842,0.005842
86,14199.8,0.7907,0.59443,1.05787,0.90988,0.81315,0.84806,0.63941,0.92843,0.54483,1.0242,0.0057925,0.0057925,0.0057925
87,14386.9,0.78242,0.58341,1.05344,0.88703,0.82103,0.84896,0.64017,0.94266,0.54609,1.02751,0.005743,0.005743,0.005743
88,14573.9,0.79982,0.58699,1.06637,0.90066,0.80935,0.84678,0.6424,0.93772,0.53751,1.02637,0.0056935,0.0056935,0.0056935
89,14759.1,0.80216,0.5987,1.06673,0.89398,0.81899,0.84954,0.64452,0.936,0.54075,1.02537,0.005644,0.005644,0.005644
90,14942,0.79033,0.58661,1.06608,0.91133,0.81192,0.84749,0.64117,0.94377,0.53458,1.0277,0.0055945,0.0055945,0.0055945
91,15129,0.79097,0.58673,1.06723,0.90588,0.80707,0.84633,0.64105,0.92843,0.53753,1.0273,0.005545,0.005545,0.005545
92,15313.5,0.79491,0.59671,1.06698,0.90417,0.81205,0.85248,0.6445,0.92719,0.53684,1.02264,0.0054955,0.0054955,0.0054955
93,15495.2,0.78235,0.57448,1.05449,0.89374,0.81972,0.84773,0.6445,0.92898,0.52608,1.01983,0.005446,0.005446,0.005446
94,15678,0.78322,0.57673,1.06223,0.91258,0.81175,0.8513,0.64186,0.93718,0.52229,1.02496,0.0053965,0.0053965,0.0053965
95,15866.7,0.7818,0.57186,1.05755,0.9072,0.82399,0.85298,0.64389,0.92964,0.52055,1.01974,0.005347,0.005347,0.005347
96,16053.3,0.78325,0.58362,1.054,0.89446,0.82079,0.84994,0.64474,0.9294,0.53048,1.02179,0.0052975,0.0052975,0.0052975
97,16234.3,0.78059,0.58342,1.05589,0.92527,0.80865,0.85321,0.64527,0.92793,0.52238,1.02005,0.005248,0.005248,0.005248
98,16418.8,0.77611,0.57118,1.05477,0.92081,0.81624,0.85452,0.64753,0.92909,0.51761,1.01784,0.0051985,0.0051985,0.0051985
99,16605.1,0.7726,0.57108,1.05302,0.93349,0.80815,0.85438,0.64372,0.93203,0.51971,1.01831,0.005149,0.005149,0.005149
100,16790,0.76781,0.55684,1.05586,0.90636,0.821,0.85481,0.64756,0.92123,0.50885,1.01374,0.0050995,0.0050995,0.0050995
101,16973.8,0.76916,0.56564,1.05083,0.91899,0.81764,0.85605,0.64786,0.92479,0.52042,1.0155,0.00505,0.00505,0.00505
102,17160.7,0.77525,0.5608,1.0504,0.91013,0.83084,0.85347,0.64974,0.91338,0.51038,1.01176,0.0050005,0.0050005,0.0050005
103,17346.7,0.76757,0.56052,1.04387,0.90329,0.82727,0.85822,0.64921,0.91528,0.51138,1.01294,0.004951,0.004951,0.004951
104,17529.7,0.77474,0.57742,1.05732,0.9167,0.81902,0.85636,0.65031,0.91333,0.50107,1.01376,0.0049015,0.0049015,0.0049015
105,17716,0.76142,0.54791,1.04097,0.92975,0.81955,0.85653,0.65152,0.9142,0.49838,1.01312,0.004852,0.004852,0.004852
106,17900.9,0.76843,0.55463,1.0479,0.92146,0.8268,0.85793,0.65178,0.91048,0.4992,1.01139,0.0048025,0.0048025,0.0048025
107,18090.7,0.75617,0.5516,1.04866,0.90561,0.82135,0.85556,0.65036,0.91006,0.50549,1.01173,0.004753,0.004753,0.004753
108,18275.9,0.75602,0.53394,1.0385,0.9285,0.81647,0.85626,0.65187,0.90386,0.4973,1.00968,0.0047035,0.0047035,0.0047035
109,18465.4,0.7577,0.53805,1.04556,0.91895,0.82176,0.85708,0.65008,0.9059,0.4935,1.00937,0.004654,0.004654,0.004654
110,18654.1,0.75302,0.54782,1.04728,0.90969,0.82359,0.85791,0.65262,0.90806,0.4951,1.00919,0.0046045,0.0046045,0.0046045
111,18841,0.75538,0.54819,1.04607,0.91946,0.82378,0.8593,0.65462,0.90945,0.4943,1.00959,0.004555,0.004555,0.004555
112,19025.3,0.75504,0.55745,1.03893,0.91674,0.82997,0.86012,0.65601,0.90266,0.49232,1.00776,0.0045055,0.0045055,0.0045055
113,19212.4,0.75236,0.54193,1.04164,0.91339,0.82865,0.85843,0.65473,0.89976,0.49502,1.0062,0.004456,0.004456,0.004456
114,19411.7,0.75138,0.54228,1.03688,0.92393,0.82606,0.85988,0.6546,0.89929,0.4902,1.00474,0.0044065,0.0044065,0.0044065
115,19598.6,0.76862,0.54913,1.05314,0.93233,0.82274,0.85824,0.65615,0.89293,0.48156,1.00322,0.004357,0.004357,0.004357
116,19781.8,0.74818,0.53464,1.03314,0.91509,0.82964,0.86105,0.65699,0.89723,0.48561,1.00389,0.0043075,0.0043075,0.0043075
117,19966.1,0.75442,0.53251,1.03668,0.93092,0.81809,0.86028,0.657,0.90017,0.49239,1.00486,0.004258,0.004258,0.004258
118,20149.1,0.75027,0.52891,1.04153,0.9265,0.82745,0.86404,0.6608,0.88876,0.48339,1.00139,0.0042085,0.0042085,0.0042085
119,20336.9,0.73007,0.52429,1.03032,0.92881,0.82913,0.861,0.65778,0.88988,0.47787,1.00064,0.004159,0.004159,0.004159
120,20517,0.74734,0.53232,1.0393,0.93775,0.82854,0.8625,0.65711,0.88929,0.4833,1.00318,0.0041095,0.0041095,0.0041095
121,20703.4,0.72749,0.5498,1.03029,0.92231,0.8323,0.86353,0.65795,0.89251,0.48288,1.00264,0.00406,0.00406,0.00406
122,20886.3,0.73399,0.52332,1.0253,0.92172,0.83196,0.86295,0.65681,0.89031,0.47994,1.00219,0.0040105,0.0040105,0.0040105
123,21073.6,0.7311,0.52922,1.03362,0.923,0.83313,0.86335,0.65851,0.88714,0.47561,0.99873,0.003961,0.003961,0.003961
124,21255.3,0.7303,0.51706,1.03371,0.9316,0.82901,0.86439,0.65709,0.89194,0.4761,1.00168,0.0039115,0.0039115,0.0039115
125,21435.3,0.7374,0.52333,1.03394,0.92819,0.83641,0.86557,0.65892,0.89116,0.47145,0.99975,0.003862,0.003862,0.003862
126,21633.3,0.72852,0.5163,1.032,0.92746,0.83133,0.86591,0.65977,0.88633,0.4683,0.99872,0.0038125,0.0038125,0.0038125
127,21819.9,0.7346,0.51756,1.02192,0.92922,0.83222,0.86548,0.66354,0.88452,0.46763,0.99667,0.003763,0.003763,0.003763
128,22008,0.73517,0.50908,1.02991,0.93358,0.82991,0.86855,0.66199,0.88481,0.46645,0.99893,0.0037135,0.0037135,0.0037135
129,22193.6,0.72131,0.49979,1.02367,0.93356,0.82972,0.86881,0.66261,0.88268,0.46353,0.99764,0.003664,0.003664,0.003664
130,22381.7,0.72422,0.50154,1.02121,0.92513,0.82893,0.86537,0.66178,0.8834,0.46634,0.99911,0.0036145,0.0036145,0.0036145
131,22565.8,0.71984,0.5022,1.02382,0.92754,0.82785,0.86487,0.66218,0.88254,0.46748,0.99756,0.003565,0.003565,0.003565
132,22750.5,0.72,0.49901,1.02761,0.92023,0.83424,0.86653,0.66426,0.87659,0.46227,0.99353,0.0035155,0.0035155,0.0035155
133,22945.4,0.71696,0.50111,1.02783,0.92938,0.83025,0.8637,0.66346,0.87787,0.46004,0.99435,0.003466,0.003466,0.003466
134,23130.3,0.70208,0.49217,1.01525,0.92413,0.82872,0.86667,0.66381,0.87901,0.46184,0.99395,0.0034165,0.0034165,0.0034165
135,23314,0.72047,0.49395,1.02272,0.92294,0.83594,0.8684,0.66637,0.87564,0.45988,0.99386,0.003367,0.003367,0.003367
